LabelforTranslation,de,en_GB,en_MX,en_US,SLNo,pt_BR,pl,fr,es,Display
Language,English,English,English,English,1,"Idioma  ",English,English,English,Language
Welcome,Welcome,Welcome,Welcome,Welcome,2,Bem-vindo,Welcome,Welcome,Welcome,Welcome
"Country ",Country,Country,Country,Country,3,"País  ",Country,Country,Country,"Country "
Country-Region,Country-Region,Country-Region,Country-Region,Country-Region,4,"País-Região  ",Country-Region,Country-Region,Country-Region,Country-Region
Area Name,Area Name," Area Name",Area Name,Area Name,5,"Nome da Área  ",Area Name,Area Name,Area Name,Area Name
Territory Name,Territory Name,Territory Name,Territory Name,Territory Name,6,"Nome do Território  ",Territory Name,Territory Name,Territory Name,Territory Name
Selling Season,Selling Season,Selling Season,Selling Season,Selling Season,7,Safra,Selling Season,Selling Season,Selling Season,Selling Season
Product Group,Product Group,Product Group,Product Group,Product Group,8,"Grupo de Produtos  ",Product Group,Product Group,Product Group,Product Group
Brand,Brand,Brand,Brand,Brand,9,"Marca  ",Brand,Brand,Brand,Brand
"Product ","Product ","Product ","Product ","Product ",10,"Produto  ","Product ","Product ","Product ","Product "
"Needs Identification ",Needs Identification,Needs Identification,Needs Identification,Needs Identification,11,"Identificação de Necessidades  ",Needs Identification,Needs Identification,Needs Identification,"Needs Identification "
ENGAGEMENT PROGRAMS,ENGAGEMENT PROGRAMS,ENGAGEMENT PROGRAMS,ENGAGEMENT PROGRAMS,ENGAGEMENT PROGRAMS,12,Plano de Ação,ENGAGEMENT PROGRAMS,ENGAGEMENT PROGRAMS,ENGAGEMENT PROGRAMS,ENGAGEMENT PROGRAMS
Select Engagement Program Name,Select Engagement Program Name,Select Engagement Program Name,Select Engagement Program Name,Select Engagement Program Name,13,Nome Plano de Ação,Select Engagement Program Name,Select Engagement Program Name,Select Engagement Program Name,Select Engagement Program Name
Status by Engagement Program,Status by Engagement Program,Status by Engagement Program,Status by Engagement Program,Status by Engagement Program,14,Status Plano de Ação,Status by Engagement Program,Status by Engagement Program,Status by Engagement Program,Status by Engagement Program
